,orderNumber,jobNumber,partNumber,partDescription,quantity,dueDate,comments,customerCode,PONumber,dateEntered,notesToCustomer,location,productCode,priority,unitPrice,miscDescription,quantityOrdered,quantityToStock,totalEstimatedHours,user_Text2,jobOnHold
38,17959,17959-02,MOR-660-ECM,"660-ECM, A-08325-800, ECM HARNESS FOR 660",20,2023-07-19T04:00:00Z,"LPRD, KANBAN",MOROOKA,22714,2023-06-08T15:20:04.23Z,,MAIN,PROD-HNS-W2,40,578.38,da-r,20,0,40.65000008046627,kbn,False
45,17998,17998-01,MOR-CAB-4AWG,"CAB-4AWG, A-04225-820-3PCS, POWER CABLES INTERNAL TO CAB, 4 AWG",25,2023-08-09T04:00:00Z,"LPRD, KANBAN",MOROOKA,22826,2023-06-26T12:24:24.29Z,,MAIN,PROD-POWER,40,87.4,n/a,25,0,0.7013888955116272,kbn,False
49,17999,17999-01,MOR-660-DIESEL,"660-DIESEL, INTERFACE HARNESS TO 660 KUBOTA DIESEL ENGINE",20,2023-08-09T04:00:00Z,"LPRD, KANBAN",MOROOKA,22826,2023-06-26T12:26:04.457Z,,MAIN,PROD-HNS-W2,40,45.83,da-r,20,0,4.800000101327896,kbn,False
50,17999,17999-02,MOR-660-FUSEPANEL,"660-FUSEPANEL, A-08325-804, PANEL W/ MODULAR PLUG, FUSES & RELAYS FOR 660",20,2023-08-09T04:00:00Z,"LPRD, KANBAN",MOROOKA,22826,2023-06-26T12:26:04.457Z,,MAIN,PROD-HNS-W2,40,405.81,da-r,20,0,15.236842513084412,kbn,False
52,18010,18010-03,VC-ORION-J1,"ORION-J1, Orion J1 Harness",40,2024-06-07T04:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-HNS-STD,50,13.5,dc,240,0,29.05964970588684,kbn,False
53,18010,18010-04,VC-ORION-J2,"ORION-J2, Orion J2 Harness",40,2024-06-07T04:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-HNS-STD,50,17.42,dc,240,0,40.48245549201965,kbn,False
54,18010,18010-05,VC-ORION-J3,"ORION-J3, Orion J3 Harness",40,2024-06-07T04:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-HNS-STD,50,23.79,dc,240,0,55.3228075504303,kbn,False
55,18010,18010-06,VC-ORION-J9,"ORION-J9, Orion J9 Harness",40,2024-06-07T04:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-HNS-STD,50,14.51,dc,240,0,34.21578907966614,kbn,False
56,18010,18010-01,VC-AB-CONNECTING-CABLE,"AB-CONNECTING-CABLE, CONNECTS ALLEN BRADLEY PLC'S (aka Dupline cables)",40,2024-06-07T04:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-MULTI,50,31.26,dc,240,0,31.750000655651093,kbn,False
57,18010,18010-07,VC-SAVARIA,SAVARIA SERIAL CABLE B.T,40,2024-06-07T04:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-HNS-STD,50,11.32,dc,240,0,28.05526328086853,kbn,False
60,18010,18010-01,VC-AB-CONNECTING-CABLE,"AB-CONNECTING-CABLE, CONNECTS ALLEN BRADLEY PLC'S (aka Dupline cables)",80,2024-12-31T05:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-MULTI,50,31.26,dc,240,0,31.750000655651093,kbn,False
61,18010,18010-03,VC-ORION-J1,"ORION-J1, Orion J1 Harness",80,2024-12-31T05:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-HNS-STD,50,13.5,dc,240,0,29.05964970588684,kbn,False
62,18010,18010-04,VC-ORION-J2,"ORION-J2, Orion J2 Harness",80,2024-12-31T05:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-HNS-STD,50,17.42,dc,240,0,40.48245549201965,kbn,False
63,18010,18010-05,VC-ORION-J3,"ORION-J3, Orion J3 Harness",80,2024-12-31T05:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-HNS-STD,50,23.79,dc,240,0,55.3228075504303,kbn,False
64,18010,18010-06,VC-ORION-J9,"ORION-J9, Orion J9 Harness",80,2024-12-31T05:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-HNS-STD,50,14.51,dc,240,0,34.21578907966614,kbn,False
65,18010,18010-07,VC-SAVARIA,SAVARIA SERIAL CABLE B.T,80,2024-12-31T05:00:00Z,,VIRGINIA CON,32170,2023-06-28T13:21:00.9Z,,RICHMOND,PROD-HNS-STD,50,11.32,dc,240,0,28.05526328086853,kbn,False
67,18033,18033-01,MOR-660-REAR,"660-REAR, A-08325-803, REAR CONTROL HARNESS FOR 660",25,2023-08-16T04:00:00Z,"LPRD, KANBAN",MOROOKA,22876,2023-07-10T15:57:07.847Z,,MAIN,PROD-HNS-W2,40,195.64,da-r,25,0,19.37500050663948,kbn,False
69,18052,18052-01,MOR-660-BATTERY,"660-BATTERY, A-08325-920-7PCS, BATTERY CABLES FOR 660",20,2023-08-23T04:00:00Z,"LPRD, KANBAN",MOROOKA,22914,2023-07-13T14:19:07.3Z,,MAIN,PROD-POWER,40,310.49,n/a,20,0,0.3333333358168602,kbn,False
84,18119,18119-01,MOR-1500-BATTERY,"1500-BATTERY, A-03625-920-12PCS, BATTERY CABLES FOR 1500 VD AND 1500 VDL",10,2023-09-06T04:00:00Z,"LPRD, KANBAN",MOROOKA,22980,2023-07-31T15:34:24.91Z,,MAIN,PROD-POWER,40,589.47,n/a,10,0,0.2500000074505806,kbn,False
98,18120,18120-03,MOR-2200-T4-ECM,"2200-T4-ECM, A-04225-800, ECM HARNESS FOR CHASSIS",10,2023-09-06T04:00:00Z,"LPRD, KANBAN",MOROOKA,22980,2023-07-31T15:36:10.62Z,,MAIN,PROD-HNS-W2,40,671.38,da-r,10,0,18.67748522758484,kbn,False
108,18149,18149-02,MOR-CAB-ROPS-FWD,"CAB-ROPS-FWD, A-04225-811, FORWARD PORTION, ROPS CAB HARNESS",20,2023-09-13T04:00:00Z,"LPRD, KANBAN",MOROOKA,23020,2023-08-04T15:13:35.363Z,,MAIN,PROD-HNS-W2,40,96.84,da-r,20,0,16.66111123561859,kbn,False
109,18156,18156-02,GRADY-16-579,"16-579, 215 DECK HARNESS",20,2023-10-09T04:00:00Z,,GRADY-WHITE,495364,2023-08-09T15:47:26.12Z,,GREENVILLE,PROD-HNS-W3,40,385.03,da-r,20,0,48.67777806520462,customer,False
110,18158,18158-02,GRADY-16-477,"16-477, 216/236/251 CONSOLE HARNESS",50,2023-10-23T04:00:00Z,,GRADY-WHITE,495366,2023-08-09T16:01:43.95Z,,GREENVILLE,PROD-HNS-W3,40,52.99,da-r,50,0,18.091666907072067,customer,False
